UserID,UserName,Age,Gender,Email,total_courses,enrollment_frequency,avg_spending,total_spending,diversity_score,avg_course_rating,preferred_category,preferred_level,learning_depth_index,preferred_teacher,teacher_diversity
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,1,1,394.26,394.26,1,1.35,Cybersecurity,Intermediate,0.0,TC00031,1
U00002,angela22,29,Female,hallrandy@hotmail.com,1,1,0.0,0.0,1,2.88,Programming,Beginner,0.0,TC00009,1
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,11,11,55.81636363636364,613.98,7,2.889090909090909,Marketing,Advanced,0.8,TC00040,2
U00004,fthornton,23,Female,christensencatherine@outlook.com,13,13,75.54230769230769,982.05,8,3.4515384615384614,Digital Marketing,Intermediate,0.6,TC00040,2
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,2,2,173.355,346.71,2,2.0549999999999997,Programming,Advanced,0.5,TC00015,2
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,1,1,0.78,0.78,1,3.89,Machine Learning,Advanced,1.0,TC00038,1
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,1,1,0.0,0.0,1,1.91,Cybersecurity,Intermediate,0.0,TC00031,1
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,1,1,0.0,0.0,1,4.1,Finance,Intermediate,0.0,TC00044,1
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,1,1,276.37,276.37,1,2.72,Design,Advanced,1.0,TC00003,1
U00010,qlam,34,Female,brian31@outlook.com,2,2,163.01,326.02,2,3.165,Artificial Intelligence,Beginner,0.0,TC00011,2
U00011,ashley16,15,Female,guzmanantonio@outlook.com,2,2,149.785,299.57,2,3.205,Data Science,Advanced,0.5,TC00015,2
U00012,mirandatimothy,15,Female,paula93@outlook.com,2,2,163.995,327.99,2,1.5150000000000001,Design,Advanced,0.5,TC00018,2
U00013,cherrykathleen,33,Female,michelewatkins@outlook.com,14,14,102.3092857142857,1432.33,8,2.869285714285714,Machine Learning,Advanced,0.8333333333333334,TC00042,2
U00014,huertatimothy,30,Male,gabrielanderson@yahoo.com,1,1,0.0,0.0,1,1.81,Machine Learning,Advanced,1.0,TC00049,1
U00015,tbaker,27,Female,kelly33@yahoo.com,14,14,145.36142857142858,2035.06,10,2.7607142857142857,Artificial Intelligence,Beginner,0.375,TC00040,2
U00016,josephmullins,32,Male,amysparks@outlook.com,1,1,0.0,0.0,1,4.79,Marketing,Advanced,1.0,TC00009,1
U00017,theresa55,24,Male,pachecojeremy@gmail.com,3,3,321.06,963.18,3,4.6499999999999995,Artificial Intelligence,Beginner,0.0,TC00024,3
U00018,nicole97,24,Female,aprilharrell@hotmail.com,16,16,91.751875,1468.03,9,3.1081250000000002,Artificial Intelligence,Beginner,0.5,TC00040,2
U00019,rlawson,24,Female,kingjulia@gmail.com,1,1,0.0,0.0,1,4.51,Design,Beginner,0.0,TC00020,1
U00020,evansmichael,27,Female,eharris@hotmail.com,1,1,0.0,0.0,1,2.88,Programming,Beginner,0.0,TC00009,1
U00021,autumn63,15,Male,julieestrada@hotmail.com,2,2,88.67,177.34,2,3.135,Cybersecurity,Advanced,2.0,TC00001,2
U00022,patriciaadkins,31,Male,thomas63@hotmail.com,1,1,0.0,0.0,1,4.68,Project Management,Beginner,0.0,TC00043,1
U00023,micheal78,32,Male,ashleymorris@yahoo.com,1,1,0.0,0.0,1,4.51,Design,Beginner,0.0,TC00047,1
U00024,steven43,18,Female,petersonlori@yahoo.com,1,1,0.0,0.0,1,3.93,Cybersecurity,Intermediate,0.0,TC00006,1
U00025,georgewhite,34,Male,jamesbradshaw@hotmail.com,4,4,29.76,119.04,4,2.605,Finance,Advanced,1.0,TC00007,4
U00026,andrew02,19,Male,jason57@yahoo.com,1,1,327.99,327.99,1,1.51,Project Management,Beginner,0.0,TC00043,1
U00027,hunter32,31,Male,ronaldthomas@yahoo.com,2,2,0.0,0.0,2,2.915,Cybersecurity,Advanced,1.0,TC00006,2
U00028,zgomez,30,Female,rwhitaker@outlook.com,12,12,84.38833333333334,1012.66,9,3.015,Finance,Beginner,0.6666666666666666,TC00040,2
U00029,hartmanjon,30,Male,nicole88@gmail.com,1,1,326.02,326.02,1,2.69,Business,Intermediate,0.0,TC00052,1
U00030,david76,34,Male,robert64@outlook.com,1,1,0.0,0.0,1,3.45,Project Management,Intermediate,0.0,TC00009,1
U00031,lovedavid,30,Male,fbooth@yahoo.com,1,1,0.0,0.0,1,2.2,Web Development,Beginner,0.0,TC00025,1
U00032,veronica83,18,Male,andrea24@yahoo.com,1,1,285.05,285.05,1,1.96,Business,Beginner,0.0,TC00028,1
U00033,rodrigueznatalie,25,Male,linda50@gmail.com,1,1,276.37,276.37,1,2.72,Design,Advanced,1.0,TC00003,1
U00034,ilopez,32,Female,scottwatts@yahoo.com,2,2,124.05,248.1,2,2.67,Artificial Intelligence,Beginner,0.0,TC00005,2
U00035,chernandez,32,Male,bryangilbert@yahoo.com,1,1,0.78,0.78,1,3.89,Machine Learning,Advanced,1.0,TC00016,1
U00036,coxmichael,24,Female,leonardkimberly@hotmail.com,1,1,0.0,0.0,1,3.85,Programming,Beginner,0.0,TC00028,1
U00037,lisabraun,31,Female,ericbrown@hotmail.com,2,2,0.0,0.0,2,1.9849999999999999,Cybersecurity,Advanced,2.0,TC00001,2
U00038,williamselizabeth,35,Male,kpham@gmail.com,1,1,0.0,0.0,1,3.93,Cybersecurity,Intermediate,0.0,TC00031,1
U00039,blackdanielle,16,Female,michaelfrederick@yahoo.com,1,1,346.71,346.71,1,1.23,Project Management,Advanced,1.0,TC00009,1
U00040,briannamurphy,15,Male,ohobbs@gmail.com,1,1,0.0,0.0,1,3.85,Programming,Beginner,0.0,TC00025,1
U00041,april65,19,Female,imccarthy@yahoo.com,2,2,163.01,326.02,2,3.5650000000000004,Business,Beginner,0.0,TC00020,2
U00042,christopher62,32,Male,patrickterrance@outlook.com,1,1,89.59,89.59,1,2.68,Artificial Intelligence,Intermediate,0.0,TC00029,1
U00043,tommy21,31,Male,gordonhenry@hotmail.com,1,1,327.99,327.99,1,1.51,Project Management,Beginner,0.0,TC00060,1
